Attrition,DailyRate,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,Research & Development,Life Sciences,Marketing,Medical,Other,Technical Degree,Travel_Rarely,Male,Human Resources,Laboratory Technician,Manager,Manufacturing Director,Research Director,Research Scientist,Sales Representative,Married,Single,within 10km,>10km,old,avg_work_years
1,1102,2,1,2,94,3,4,19479,8,11,1,0,8,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0
0,279,1,2,3,61,2,2,24907,1,23,4,1,10,3,3,7,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,10.0
1,1373,2,4,4,92,2,3,2396,6,15,2,0,7,3,3,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1.1666666666666667
0,1392,4,5,4,56,3,3,23159,1,11,3,0,8,3,3,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.0
0,591,1,7,1,40,3,2,16632,9,12,4,1,6,3,3,2,2,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0.6666666666666666
0,1005,2,8,4,79,3,4,11864,0,13,3,0,8,2,2,7,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.0
0,1324,3,10,3,81,4,1,9964,4,20,1,3,12,3,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,3.0
0,1358,1,11,4,67,3,3,13335,1,22,2,1,1,2,3,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1.0
0,216,3,12,4,44,2,3,8787,0,21,2,0,10,2,3,7,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0.0
0,1299,3,13,3,94,3,3,16577,6,13,2,2,17,3,2,7,7,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2.8333333333333335
0,809,3,14,1,84,4,2,16479,0,13,3,1,6,5,3,4,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0.0
0,153,2,15,4,49,2,3,12682,0,12,4,0,10,3,3,5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.0
0,670,1,16,1,31,3,3,15170,1,17,4,1,5,1,2,2,4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,5.0
0,1346,2,18,2,93,3,4,8758,0,11,3,1,3,2,3,2,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.0
1,103,3,19,3,50,2,3,12947,5,14,2,0,6,4,3,2,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1.2
0,1389,4,20,2,51,4,1,10195,1,11,3,1,10,1,3,9,8,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,10.0
0,334,2,21,1,80,4,2,15053,0,12,4,2,7,5,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0
0,1123,2,22,4,96,4,4,7324,1,13,2,2,1,2,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.0
0,1219,4,23,1,78,2,4,22021,2,16,3,0,31,3,3,8,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,15.5
0,371,3,24,4,45,3,4,4306,5,11,3,0,6,3,3,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1.2
0,673,2,26,1,96,4,3,8232,0,18,4,1,5,5,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
1,1218,4,27,3,82,2,1,6986,7,23,2,0,10,4,3,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1.4285714285714286
0,419,4,28,1,53,3,2,21293,0,11,3,0,13,4,3,6,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0.0
0,391,2,30,3,96,3,4,19281,1,14,4,0,0,6,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0.0
1,699,1,31,2,83,3,1,17102,2,11,3,0,8,2,3,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,4.0
0,1282,3,32,3,58,3,3,10735,4,11,4,1,26,3,2,13,4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,6.5
1,1125,1,33,2,72,1,1,4681,1,22,2,0,10,5,3,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,10.0
0,691,4,35,3,48,3,2,21173,0,11,4,1,10,2,3,7,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0.0
0,477,4,36,1,42,2,4,2094,3,14,4,1,24,4,3,6,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,8.0
0,705,4,38,2,83,3,1,22822,3,12,4,0,22,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,7.333333333333333
0,924,3,39,3,78,3,4,6670,4,11,4,0,7,3,3,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1.75
0,1459,4,40,4,41,3,4,19121,2,13,4,0,9,5,4,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,4.5
0,125,2,41,4,83,2,3,16117,1,13,1,0,10,5,3,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,10.0
1,895,3,42,4,56,3,4,3335,3,14,3,1,19,6,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,6.333333333333333
1,813,3,45,2,61,3,4,3020,2,16,1,1,6,2,2,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3.0
0,1273,2,46,4,72,4,3,21923,1,12,4,2,6,3,2,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6.0
1,869,2,47,1,86,2,3,3810,1,14,3,0,3,2,3,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,3.0
0,890,3,49,4,97,3,4,9687,1,13,1,0,2,3,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2.0
0,852,4,51,2,82,2,1,13072,9,14,4,1,6,3,4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0.6666666666666666
0,1141,3,52,3,42,4,1,3193,2,19,1,2,10,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0
0,464,2,53,3,75,3,4,10910,1,12,3,1,1,3,3,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0
0,1240,4,54,4,33,3,1,19715,1,13,4,1,1,6,3,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
1,1357,3,55,1,48,1,3,10558,1,12,3,0,1,2,2,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1.0
0,994,3,56,4,37,3,3,2975,1,15,4,0,9,0,3,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,9.0
0,721,2,57,3,58,3,4,10781,1,23,4,0,12,2,3,8,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12.0
1,1360,3,58,2,49,3,3,16280,1,12,4,0,23,0,3,15,15,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,23.0
0,1065,4,60,2,72,3,3,10034,0,20,3,0,10,2,3,5,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.0
0,408,2,61,2,73,3,2,10227,4,21,1,0,8,1,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,2.0
0,1211,4,62,1,98,3,4,20445,4,21,3,0,14,4,3,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,3.5
0,1229,1,63,4,36,4,4,4892,1,19,4,0,1,2,3,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1.0
1,626,2,64,1,98,2,3,19294,9,13,4,0,23,2,3,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2.5555555555555554
1,1434,4,65,3,50,3,3,11179,1,13,3,0,2,3,2,2,2,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,2.0
0,1488,5,68,2,75,3,1,4009,5,21,3,1,9,2,2,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8
0,1097,2,70,3,79,2,1,8302,2,13,3,1,10,3,3,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,5.0
0,1443,3,72,3,47,2,4,21436,7,19,3,1,5,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.7142857142857143
0,515,2,73,1,98,3,4,15146,1,12,3,0,15,1,3,14,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15.0
0,853,5,74,2,71,3,1,11031,1,22,4,1,9,3,2,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,9.0
0,1142,4,75,3,30,3,1,16002,3,15,3,1,4,3,3,2,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1.3333333333333333
0,655,4,76,4,48,3,4,9528,3,22,4,1,10,3,2,7,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,3.3333333333333335
0,1115,4,77,1,51,2,3,2689,1,18,3,1,7,2,4,5,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,7.0
0,427,3,78,1,33,3,4,10877,1,22,2,1,9,3,3,8,7,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,9.0
0,653,5,79,4,50,3,4,5456,1,11,4,0,10,2,3,3,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,10.0
0,989,2,80,2,43,2,3,16701,5,12,4,1,29,2,2,3,13,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,5.8
0,1435,3,81,1,99,3,1,2354,7,11,4,0,28,3,2,16,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,4.0
0,1223,3,83,3,59,3,3,8202,1,13,2,3,17,2,3,14,12,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17.0
0,836,3,84,4,33,3,3,19730,2,14,3,3,21,2,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,10.5
0,1195,3,85,2,95,2,2,22656,1,13,3,0,6,3,3,5,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,6.0
0,1339,3,86,2,59,3,1,18787,2,17,3,1,25,2,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,12.5
0,664,3,88,2,79,3,1,5868,4,13,4,1,5,2,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.25
1,318,3,90,4,79,2,3,21777,0,17,1,1,2,0,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0.0
0,1225,1,91,1,57,2,3,24668,7,11,4,0,20,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.857142857142857
